Apis mellifera
Bombus terrestris
Vespa crabro
Formica rufa
Lasius niger
Camponotus pennsylvanicus
Paper wasp
Monarch butterfly
Papilio machaon
Vanessa cardui
Aglais io
Inachis io
Morpho peleides
Pieris brassicae
Pieris rapae
Colias croceus
Gonepteryx rhamni
Macroglossum stellatarum
Deilephila elpenor
Bombyx mori
Attacus atlas
Antheraea polyphemus
Coccinella septempunctata
Harmonia axyridis
Adalia bipunctata
Calvia quatuordecimguttata
Chrysolina fastuosa
Chrysomela populi
Leptinotarsa decemlinea
Colorado potato beetle
Lucanus cervus
Dorcus parallelopipedus
Oryctes nasicornis
Cetonia aurata
Polyphylla fullo
Geotrupes stercorarius
Scarabaeus sacer
Tenebrio molitor
Tribolium castaneum
Carabus auratus
Carabus nemoralis
Cicindela campestris
Cicindela hybrida
Calosoma sycophanta
Pterostichus melanarius
Nebria brevicollis
Bembidion lampros
Agonum dorsale
Harpalus rufipes
Poecilus cupreus
Amara aenea
Pterostichus madidus
Staphylinus caesareus
Ocypus olens
Philonthus cognatus
Paederus riparius
Cantharis rustica
Cantharis fusca
Rhagonycha fulva
Malachius bipustulatus
Malthodes marginatus
Forficula auricularia
European earwig
Gryllus campestris
Acheta domesticus
Gryllodes sigillatus
Tettigonia viridissima
Conocephalus discolor
Meconema thalassinum
Chorthippus brunneus
Chorthippus parallelus
Stethophyma grossum
Oedipoda caerulescens
Locusta migratoria
Schistocerca gregaria
Acrida cinerea
Phymateus viridipes
Gomphocerippus rufus
Chorthippus biguttulus
Aiolopus thalassinus
Acrida bicolor
Phaneroptera falcata
Leptophyes punctatissima
Pholidoptera griseoaptera
Tettigonia cantans
Decticus verrucivorus
Gryllotalpa gryllotalpa
Acheta domesticus
Periplaneta americana
Blattella germanica
Ectobius lapponicus
Mantis religiosa
Empusa pennata
Ameles spallanzania
Iris oratoria
Tenodera sinensis
Hierodula patellifera
Sympetrum striolatum
Sympetrum sanguineum
Sympetrum vulgatum
Sympetrum flaveolum
Libellula quadrimaculata
Libellula depressa
Orthetrum cancellatum
Orthetrum coerulescens
Aeshna cyanea
Aeshna mixta
Anax imperator
Brachytron pratense
Cordulegaster boltonii
Calopteryx virgo
Calopteryx splendens
